CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-20 00:00,m^3/s,2.9,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-21 00:00,m^3/s,2.9,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-22 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-23 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-24 00:00,m^3/s,2.655,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-25 00:00,m^3/s,2.475,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-26 00:00,m^3/s,2.52,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-27 00:00,m^3/s,2.9,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-28 00:00,m^3/s,2.71,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-29 00:00,m^3/s,2.61,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-30 00:00,m^3/s,2.52,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-31 00:00,m^3/s,2.52,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-08-01 00:00,m^3/s,2.47999999999852,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-08-02 00:00,m^3/s,3.3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-08-03 00:00,m^3/s,2.955,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-08-04 00:00,m^3/s,2.34,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-08-05 00:00,m^3/s,2.43,Preliminar
